race_id,favorite,favorite_odds,favorite_consensus,second_to_fav_odds_ratio,candidate_count,core_pair,four_cars,result,A_2of3_representatives_tickets,A_2of3_representatives_stake_yen,A_2of3_representatives_payout_yen,A_2of3_representatives_hit,B_core_pair_all_tickets,B_core_pair_all_stake_yen,B_core_pair_all_payout_yen,B_core_pair_all_hit,C_four_car_box_tickets,C_four_car_box_stake_yen,C_four_car_box_payout_yen,C_four_car_box_hit,D_four_car_without_favorite_tickets,D_four_car_without_favorite_stake_yen,D_four_car_without_favorite_payout_yen,D_four_car_without_favorite_hit
2320230410010006,2-4-5,4.0,0.18670067822560585,1.125,2,2-5,2-4-5-7,1-4-7,2-4-6|2-5-7,200,0,0,1-2-5|2-3-5|2-4-5|2-5-6|2-5-7,500,0,0,2-4-5|2-4-7|2-5-7|4-5-7,400,0,0,2-4-7|2-5-7|4-5-7,300,0,0
2320230424010006,1-3-5,5.0,0.14911053882493533,1.04,0,,,3-5-7,,0,0,0,,0,0,0,,0,0,0,,0,0,0
2420230111010009,1-5-7,4.7,0.1586598492997285,1.127659574468085,4,5-7,1-3-5-7,2-4-7,1-2-7|1-4-7|3-5-7|5-6-7,400,0,0,1-5-7|2-5-7|3-5-7|4-5-7|5-6-7,500,0,0,1-3-5|1-3-7|1-5-7|3-5-7,400,0,0,1-3-5|1-3-7|3-5-7,300,0,0
2420230322010006,1-2-7,4.7,0.15904694154322274,1.0425531914893618,2,1-7,1-2-5-7,2-3-6,1-5-7|1-6-7,200,0,0,1-2-7|1-3-7|1-4-7|1-5-7|1-6-7,500,0,0,1-2-5|1-2-7|1-5-7|2-5-7,400,0,0,1-2-5|1-5-7|2-5-7,300,0,0
2420230322010007,1-3-4,5.0,0.1491291302092825,1.0,2,3-4,1-3-4-6,1-3-7,1-3-5|3-4-6,200,0,0,1-3-4|2-3-4|3-4-5|3-4-6|3-4-7,500,0,0,1-3-4|1-3-6|1-4-6|3-4-6,400,0,0,1-3-6|1-4-6|3-4-6,300,0,0
2420230322010008,2-3-7,4.5,0.1657229560043016,1.088888888888889,1,2-4,2-3-4-7,4-5-7,2-4-7,100,0,0,1-2-4|2-3-4|2-4-5|2-4-6|2-4-7,500,0,0,2-3-4|2-3-7|2-4-7|3-4-7,400,0,0,2-3-4|2-4-7|3-4-7,300,0,0
2420230912010007,1-2-5,4.5,0.16605102447936573,1.0666666666666667,3,2-5,1-2-5-6,1-3-5,1-2-7|2-4-5|2-5-6,300,0,0,1-2-5|2-3-5|2-4-5|2-5-6|2-5-7,500,0,0,1-2-5|1-2-6|1-5-6|2-5-6,400,0,0,1-2-6|1-5-6|2-5-6,300,0,0
2520230308010008,1-2-7,4.5,0.16564326131096857,1.0444444444444445,2,2-7,1-2-3-7,1-2-7,2-3-7|2-5-7,200,0,0,1-2-7|2-3-7|2-4-7|2-5-7|2-6-7,500,450,1,1-2-3|1-2-7|1-3-7|2-3-7,400,450,1,1-2-3|1-3-7|2-3-7,300,0,0
2520230531010008,3-5-7,4.8,0.15561147743621784,1.1458333333333335,2,1-3,1-3-5-7,2-3-5,1-3-7|3-5-6,200,0,0,1-2-3|1-3-4|1-3-5|1-3-6|1-3-7,500,0,0,1-3-5|1-3-7|1-5-7|3-5-7,400,0,0,1-3-5|1-3-7|1-5-7,300,0,0
2620230108010009,3-4-7,4.4,0.16946133613546402,1.159090909090909,2,3-4,1-3-4-7,3-4-6,1-3-4|3-4-5,200,0,0,1-3-4|2-3-4|3-4-5|3-4-6|3-4-7,500,1890,1,1-3-4|1-3-7|1-4-7|3-4-7,400,0,0,1-3-4|1-3-7|1-4-7,300,0,0
2620230108010010,2-4-6,6.1,0.12260431702687558,1.1475409836065575,1,3-4,2-3-4-6,2-6-7,3-4-6,100,0,0,1-3-4|2-3-4|3-4-5|3-4-6|3-4-7,500,0,0,2-3-4|2-3-6|2-4-6|3-4-6,400,0,0,2-3-4|2-3-6|3-4-6,300,0,0
2620230108010011,1-3-7,4.0,0.18642568050386954,1.025,2,3-7,1-3-4-7,2-4-5,2-3-7|3-4-7,200,0,0,1-3-7|2-3-7|3-4-7|3-5-7|3-6-7,500,0,0,1-3-4|1-3-7|1-4-7|3-4-7,400,0,0,1-3-4|1-4-7|3-4-7,300,0,0
2620230419010007,1-3-7,4.5,0.16596469143713663,1.0222222222222221,3,1-7,1-3-4-7,3-5-7,1-4-7|1-6-7|2-3-7,300,0,0,1-2-7|1-3-7|1-4-7|1-5-7|1-6-7,500,0,0,1-3-4|1-3-7|1-4-7|3-4-7,400,0,0,1-3-4|1-4-7|3-4-7,300,0,0
2620230525010009,1-4-7,4.3,0.17323741578093568,1.1627906976744187,1,1-4,1-4-5-7,3-4-6,1-4-5,100,0,0,1-2-4|1-3-4|1-4-5|1-4-6|1-4-7,500,0,0,1-4-5|1-4-7|1-5-7|4-5-7,400,0,0,1-4-5|1-5-7|4-5-7,300,0,0
2620231223010006,3-6-7,4.9,0.1521046064735721,1.2040816326530612,2,1-6,1-3-6-7,1-3-5,1-6-7|3-4-6,200,0,0,1-2-6|1-3-6|1-4-6|1-5-6|1-6-7,500,0,0,1-3-6|1-3-7|1-6-7|3-6-7,400,0,0,1-3-6|1-3-7|1-6-7,300,0,0
2720230123010011,1-2-7,4.3,0.1729701057900269,1.0,1,1-4,1-2-4-7,2-3-4,1-4-7,100,0,0,1-2-4|1-3-4|1-4-5|1-4-6|1-4-7,500,0,0,1-2-4|1-2-7|1-4-7|2-4-7,400,0,0,1-2-4|1-4-7|2-4-7,300,0,0
2720230221010007,1-5-7,4.5,0.16600382247178927,1.1777777777777778,1,1-3,1-3-5-7,1-2-5,1-3-5,100,0,0,1-2-3|1-3-4|1-3-5|1-3-6|1-3-7,500,0,0,1-3-5|1-3-7|1-5-7|3-5-7,400,0,0,1-3-5|1-3-7|3-5-7,300,0,0
2720230415010006,2-3-5,4.6,0.16170581984471086,1.1304347826086958,2,2-3,2-3-4-5,2-3-4,2-3-4|2-5-6,200,1550,1,1-2-3|2-3-4|2-3-5|2-3-6|2-3-7,500,1550,1,2-3-4|2-3-5|2-4-5|3-4-5,400,1550,1,2-3-4|2-4-5|3-4-5,300,1550,1
2720230415010009,3-4-5,5.3,0.14077756382250559,1.0943396226415094,0,,,3-4-5,,0,0,0,,0,0,0,,0,0,0,,0,0,0
2720230712010009,3-4-5,4.6,0.16224322441467293,1.173913043478261,3,3-4,1-3-4-5,1-3-5,1-3-4|2-3-5|3-4-6,300,0,0,1-3-4|2-3-4|3-4-5|3-4-6|3-4-7,500,0,0,1-3-4|1-3-5|1-4-5|3-4-5,400,670,1,1-3-4|1-3-5|1-4-5,300,670,1
2720230902010008,1-2-4,4.2,0.17787491083024318,1.1666666666666667,0,,,1-2-7,,0,0,0,,0,0,0,,0,0,0,,0,0,0
2720230929010008,2-3-4,5.7,0.1311808270225104,1.0175438596491226,2,3-4,2-3-4-6,1-4-5,2-4-7|3-4-6,200,0,0,1-3-4|2-3-4|3-4-5|3-4-6|3-4-7,500,0,0,2-3-4|2-3-6|2-4-6|3-4-6,400,0,0,2-3-6|2-4-6|3-4-6,300,0,0
2720230929010010,1-3-5,5.6,0.13342623156846684,1.0,1,3-5,1-3-5-7,1-3-5,3-5-7,100,0,0,1-3-5|2-3-5|3-4-5|3-5-6|3-5-7,500,560,1,1-3-5|1-3-7|1-5-7|3-5-7,400,560,1,1-3-7|1-5-7|3-5-7,300,0,0
2820230315010008,3-4-5,5.5,0.13539635629667782,1.0363636363636364,3,3-5,3-4-5-6,1-2-5,2-4-5|3-5-6|3-5-7,300,0,0,1-3-5|2-3-5|3-4-5|3-5-6|3-5-7,500,0,0,3-4-5|3-4-6|3-5-6|4-5-6,400,0,0,3-4-6|3-5-6|4-5-6,300,0,0
2820230315010010,1-4-5,4.9,0.1522473306044117,1.0816326530612244,3,1-4,1-4-5-6,1-2-4,1-4-6|1-4-7|2-4-5,300,0,0,1-2-4|1-3-4|1-4-5|1-4-6|1-4-7,500,530,1,1-4-5|1-4-6|1-5-6|4-5-6,400,0,0,1-4-6|1-5-6|4-5-6,300,0,0
2820230315010011,2-5-7,4.5,0.1657133346816265,1.0222222222222221,1,2-4,2-4-5-7,2-5-7,2-4-5,100,0,0,1-2-4|2-3-4|2-4-5|2-4-6|2-4-7,500,0,0,2-4-5|2-4-7|2-5-7|4-5-7,400,450,1,2-4-5|2-4-7|4-5-7,300,0,0
2820230806010006,2-3-7,5.0,0.14974888815560183,1.1800000000000002,1,2-5,2-3-5-7,2-5-7,2-5-7,100,1210,1,1-2-5|2-3-5|2-4-5|2-5-6|2-5-7,500,1210,1,2-3-5|2-3-7|2-5-7|3-5-7,400,1210,1,2-3-5|2-5-7|3-5-7,300,1210,1
2820230806010007,2-3-4,5.2,0.14349115316744587,1.1346153846153846,3,3-4,2-3-4-5,2-5-7,1-2-4|2-3-7|3-4-5,300,0,0,1-3-4|2-3-4|3-4-5|3-4-6|3-4-7,500,0,0,2-3-4|2-3-5|2-4-5|3-4-5,400,0,0,2-3-5|2-4-5|3-4-5,300,0,0
2820230806010008,1-2-7,4.1,0.18137306877522363,1.048780487804878,2,1-7,1-2-5-7,1-4-7,1-3-7|1-5-7,200,0,0,1-2-7|1-3-7|1-4-7|1-5-7|1-6-7,500,430,1,1-2-5|1-2-7|1-5-7|2-5-7,400,0,0,1-2-5|1-5-7|2-5-7,300,0,0
2820231228010006,1-5-7,7.4,0.10102793690096266,1.027027027027027,3,1-7,,1-5-7,1-3-5|1-4-7|1-6-7,300,0,0,1-2-7|1-3-7|1-4-7|1-5-7|1-6-7,500,740,1,,0,0,0,,0,0,0
3120230117010006,2-5-7,4.5,0.16586689196288593,1.0222222222222221,2,2-4,2-4-5-7,2-4-7,2-4-7|3-5-7,200,460,1,1-2-4|2-3-4|2-4-5|2-4-6|2-4-7,500,460,1,2-4-5|2-4-7|2-5-7|4-5-7,400,460,1,2-4-5|2-4-7|4-5-7,300,460,1
3120230130010008,1-4-7,5.2,0.1435996134633656,1.0384615384615385,3,4-7,1-3-4-7,2-6-7,1-5-7|2-4-7|3-4-7,300,0,0,1-4-7|2-4-7|3-4-7|4-5-7|4-6-7,500,0,0,1-3-4|1-3-7|1-4-7|3-4-7,400,0,0,1-3-4|1-3-7|3-4-7,300,0,0
3120230205010009,1-2-7,6.9,0.10834174281994907,1.144927536231884,2,2-3,1-2-3-7,1-2-7,1-2-4|2-3-7,200,0,0,1-2-3|2-3-4|2-3-5|2-3-6|2-3-7,500,0,0,1-2-3|1-2-7|1-3-7|2-3-7,400,690,1,1-2-3|1-3-7|2-3-7,300,0,0
3120230322010007,1-2-5,4.7,0.1586313201404457,1.0851063829787233,3,1-2,,1-2-7,1-2-6|1-2-7|2-4-5,300,660,1,1-2-3|1-2-4|1-2-5|1-2-6|1-2-7,500,660,1,,0,0,0,,0,0,0
3120230410010010,1-5-7,5.5,0.13560461005418314,1.0545454545454545,3,1-2,1-2-5-7,3-4-7,1-2-7|1-5-6|3-5-7,300,0,0,1-2-3|1-2-4|1-2-5|1-2-6|1-2-7,500,0,0,1-2-5|1-2-7|1-5-7|2-5-7,400,0,0,1-2-5|1-2-7|2-5-7,300,0,0
3120230520010007,1-3-5,5.2,0.14328192497137732,1.0192307692307692,2,1-5,1-2-3-5,1-2-5,1-2-5|1-4-5,200,530,1,1-2-5|1-3-5|1-4-5|1-5-6|1-5-7,500,530,1,1-2-3|1-2-5|1-3-5|2-3-5,400,530,1,1-2-3|1-2-5|2-3-5,300,530,1
3120230627010007,1-4-7,6.6,0.1130619304144377,1.0606060606060606,2,1-4,1-4-6-7,1-3-7,1-3-7|1-4-6,200,700,1,1-2-4|1-3-4|1-4-5|1-4-6|1-4-7,500,0,0,1-4-6|1-4-7|1-6-7|4-6-7,400,0,0,1-4-6|1-6-7|4-6-7,300,0,0
3120231025010007,1-2-5,5.9,0.12665768571927674,1.1694915254237288,3,2-5,1-2-5-6,2-3-5,1-5-7|2-3-5|2-5-6,300,2370,1,1-2-5|2-3-5|2-4-5|2-5-6|2-5-7,500,2370,1,1-2-5|1-2-6|1-5-6|2-5-6,400,0,0,1-2-6|1-5-6|2-5-6,300,0,0
3120231025010008,1-2-7,4.3,0.17312745798513887,1.1395348837209303,2,2-3,1-2-3-7,1-2-7,1-5-7|2-3-7,200,0,0,1-2-3|2-3-4|2-3-5|2-3-6|2-3-7,500,0,0,1-2-3|1-2-7|1-3-7|2-3-7,400,430,1,1-2-3|1-3-7|2-3-7,300,0,0
3420231007010006,1-4-5,5.0,0.1491583650519126,1.08,3,1-4,,3-4-7,1-3-4|1-4-6|2-4-5,300,0,0,1-2-4|1-3-4|1-4-5|1-4-6|1-4-7,500,0,0,,0,0,0,,0,0,0
3420231206010006,2-3-7,4.2,0.17697221298290577,1.0714285714285714,2,2-3,,2-3-7,1-2-7|2-3-5,200,0,0,1-2-3|2-3-4|2-3-5|2-3-6|2-3-7,500,420,1,,0,0,0,,0,0,0
3420231213010009,3-5-7,5.0,0.14945059528024182,1.1199999999999999,2,1-5,1-3-5-7,3-5-7,1-5-7|3-4-7,200,0,0,1-2-5|1-3-5|1-4-5|1-5-6|1-5-7,500,0,0,1-3-5|1-3-7|1-5-7|3-5-7,400,500,1,1-3-5|1-3-7|1-5-7,300,0,0
3520230311010006,1-5-6,4.8,0.15523566920521673,1.0416666666666667,3,1-5,,1-2-4,1-2-5|1-3-5|1-4-5,300,0,0,1-2-5|1-3-5|1-4-5|1-5-6|1-5-7,500,0,0,,0,0,0,,0,0,0
3520230311010009,2-3-5,4.8,0.15560503039224347,1.1666666666666667,1,1-2,1-2-3-5,3-5-7,1-2-5,100,0,0,1-2-3|1-2-4|1-2-5|1-2-6|1-2-7,500,0,0,1-2-3|1-2-5|1-3-5|2-3-5,400,0,0,1-2-3|1-2-5|1-3-5,300,0,0
3520230422010010,1-4-5,4.0,0.1871392911359256,1.1,3,4-5,,1-4-7,1-2-5|1-4-6|4-5-7,300,0,0,1-4-5|2-4-5|3-4-5|4-5-6|4-5-7,500,0,0,,0,0,0,,0,0,0
3520230616010008,1-3-4,4.6,0.16210029815636487,1.0,3,3-4,1-3-4-7,1-4-6,1-3-6|2-3-4|3-4-7,300,0,0,1-3-4|2-3-4|3-4-5|3-4-6|3-4-7,500,0,0,1-3-4|1-3-7|1-4-7|3-4-7,400,0,0,1-3-7|1-4-7|3-4-7,300,0,0
3520230721010007,1-3-7,5.6,0.13324937137196433,1.142857142857143,2,1-3,1-3-4-7,1-5-7,1-2-3|1-3-4,200,0,0,1-2-3|1-3-4|1-3-5|1-3-6|1-3-7,500,0,0,1-3-4|1-3-7|1-4-7|3-4-7,400,0,0,1-3-4|1-4-7|3-4-7,300,0,0
3620230305010006,1-2-7,5.0,0.14923208479998304,1.0,1,1-5,1-2-5-7,2-3-4,1-5-7,100,0,0,1-2-5|1-3-5|1-4-5|1-5-6|1-5-7,500,0,0,1-2-5|1-2-7|1-5-7|2-5-7,400,0,0,1-2-5|1-5-7|2-5-7,300,0,0
3620230325010008,2-4-5,4.7,0.15915609934260927,1.0,3,2-5,2-4-5-7,2-4-5,1-2-5|2-3-5|2-5-7,300,0,0,1-2-5|2-3-5|2-4-5|2-5-6|2-5-7,500,470,1,2-4-5|2-4-7|2-5-7|4-5-7,400,470,1,2-4-7|2-5-7|4-5-7,300,0,0
3620230515010010,3-4-7,4.0,0.1861801803333524,1.175,4,3-7,,2-3-5,1-3-7|2-3-7|3-4-6|3-5-7,400,0,0,1-3-7|2-3-7|3-4-7|3-5-7|3-6-7,500,0,0,,0,0,0,,0,0,0
