race_id,race_date,track,race_no,participate,first_candidates,second_candidates,third_candidates,actual_1st,actual_2nd,actual_3rd,hit_1st,hit_2nd,hit_3rd,complete_capture,candidate_cells
5420240304030012,2024-03-06,向日町競輪,12,0,2-3,2-5,1-2-3-4,3,2,5,1,1,0,0,8
8120240306010006,2024-03-06,小倉競輪,6,1,2,3-4-7,1-4-5,1,2,4,0,0,1,0,7
8120240306010007,2024-03-06,小倉競輪,7,0,1,3-7,1-4-6,7,1,2,0,0,0,0,6
8120240306010008,2024-03-06,小倉競輪,8,0,1,2-3-5,1-2-5,4,2,1,0,1,1,0,7
8120240306010009,2024-03-06,小倉競輪,9,0,4-7,1-3-7,1-2-4,5,3,4,0,1,1,0,8
8120240306010010,2024-03-06,小倉競輪,10,0,2-4,2-3-5,1-2-3-5,4,2,6,1,1,0,0,9
8120240306010011,2024-03-06,小倉競輪,11,0,1-4,1-3-4,1-2-3-4,4,3,2,1,1,1,1,9
8120240306010012,2024-03-06,小倉競輪,12,0,2-4,2-4-7,1-3-4-5,2,7,5,1,1,1,1,9
8120240306020006,2024-03-07,小倉競輪,6,0,2-3,5-7,2-3-5-7,2,4,5,1,0,1,0,8
8120240306020007,2024-03-07,小倉競輪,7,0,1-5,1-5,1-2-4-6,5,1,6,1,1,1,1,8
8120240306020008,2024-03-07,小倉競輪,8,0,3,1-3-4,1-2-4-7,3,5,2,1,0,1,0,8
8120240306020009,2024-03-07,小倉競輪,9,0,3-4,3-4-7,1-2-5-7,2,4,3,0,1,0,0,9
8120240306020010,2024-03-07,小倉競輪,10,0,1-3,1-7,1-3-4-7,2,5,6,0,0,0,0,8
8120240306020011,2024-03-07,小倉競輪,11,0,1-5,1-5,1-2-7,5,1,3,1,1,0,0,7
8120240306020012,2024-03-07,小倉競輪,12,1,1,1-3-5,1-2-3-7,5,2,4,0,0,0,0,8
8120240306030008,2024-03-08,小倉競輪,8,0,3-7,3-4-7,2-3-4-7,5,3,7,0,1,1,0,9
8120240306030009,2024-03-08,小倉競輪,9,0,1-5,1-4-5,1-3-4-5,4,7,2,0,0,0,0,9
8120240306030010,2024-03-08,小倉競輪,10,1,2,1-4-5,1-2-4-5,1,5,2,0,1,1,0,8
8120240306030012,2024-03-08,小倉競輪,12,0,2-3,2-3,1-2-3,2,1,3,1,0,1,0,7
2820240308010006,2024-03-08,立川競輪,6,0,1,3-5-7,2-3-4-5,4,1,3,0,0,1,0,8
2820240308010007,2024-03-08,立川競輪,7,1,2,2-3-4,2-3-4-5,2,3,7,1,1,0,0,8
2820240308010008,2024-03-08,立川競輪,8,1,1,4-5,2-4-5,5,4,2,0,1,1,0,6
2820240308010009,2024-03-08,立川競輪,9,0,3-5,3-5-7,2-3-5,3,7,6,1,1,0,0,8
2820240308010010,2024-03-08,立川競輪,10,0,2-7,4-7,1-2-3-4,2,7,4,1,1,1,1,8
2820240308010011,2024-03-08,立川競輪,11,0,1-4,3-4-7,1-2-3-7,3,4,2,0,1,1,0,9
2820240308010012,2024-03-08,立川競輪,12,1,1,4-6-7,1-2-3-4,1,2,6,1,0,0,0,8
4820240309010006,2024-03-09,四日市競輪,6,0,1,3-4-7,1-2-3-4,2,1,4,0,0,1,0,8
4820240309010007,2024-03-09,四日市競輪,7,0,2-3,1-3-7,1-3-5-7,7,2,3,0,0,1,0,9
4820240309010008,2024-03-09,四日市競輪,8,1,1,2-4-7,1-2-3-5,2,7,3,0,1,1,0,8
4820240309010009,2024-03-09,四日市競輪,9,0,1-7,1-4-7,1-3-4,7,1,4,1,1,1,1,8
4820240309010010,2024-03-09,四日市競輪,10,1,1,4-7,1-4-7,1,7,4,1,1,1,1,6
4820240309010011,2024-03-09,四日市競輪,11,0,1-7,2-5-7,1-2-4,7,2,3,1,1,0,0,8
4820240309010012,2024-03-09,四日市競輪,12,0,2-4,2-4-7,1-2-7,2,1,4,1,0,0,0,8
2820240308020008,2024-03-09,立川競輪,8,0,1-7,3-5-7,1-3-4-5,1,5,4,1,1,1,1,9
2820240308020009,2024-03-09,立川競輪,9,1,2,4-7,1-4-7,2,4,5,1,1,0,0,6
2820240308020010,2024-03-09,立川競輪,10,0,2-3,3-4-7,1-2-4-7,7,2,1,0,0,1,0,9
2820240308020011,2024-03-09,立川競輪,11,1,1,5-6,1-2-3,3,6,7,0,1,0,0,6
2820240308020012,2024-03-09,立川競輪,12,0,4-7,4-7,1-2-5-7,4,7,5,1,1,1,1,8
4820240309020006,2024-03-10,四日市競輪,6,1,4,3-5-7,2-3-4-7,4,5,6,1,1,0,0,8
4820240309020007,2024-03-10,四日市競輪,7,0,4-5,3-4-5,1-2-3-7,5,3,4,1,1,0,0,9
4820240309020008,2024-03-10,四日市競輪,8,0,4,4-6-7,3-4-7,4,6,2,1,1,0,0,7
4820240309020009,2024-03-10,四日市競輪,9,0,3,1-6-7,2-3-6,3,7,6,1,1,1,1,7
4820240309020010,2024-03-10,四日市競輪,10,1,1,3-4-6,1-2-3-4,5,1,2,0,0,1,0,8
4820240309020011,2024-03-10,四日市競輪,11,0,7,2-3-4,1-2-4-5,7,3,5,1,1,1,1,8
4820240309020012,2024-03-10,四日市競輪,12,0,1-7,1-7,1-2-3-4,1,7,4,1,1,1,1,8
2820240308030009,2024-03-10,立川競輪,9,0,3-7,3-7,1-2-3-4,4,1,7,0,0,0,0,8
2820240308030010,2024-03-10,立川競輪,10,0,3-7,3-4-7,2-3-5-7,7,2,6,1,0,0,0,9
2820240308030011,2024-03-10,立川競輪,11,0,1-4,2-4,1-4-5,4,6,1,1,0,1,0,7
2820240308030012,2024-03-10,立川競輪,12,0,1,2-3-7,1-2-3-4,1,4,5,1,0,0,0,8
