race_id,race_date,track,race_no,actual_1st,v11_top1,v11_hit,v11_actual_rank,v12_top1,v12_hit,v12_actual_rank,winner_in_v11_top3
8520240408030010,2024-04-10,佐世保競輪,10,5,5,1,1,1,0,3,1
8520240408030012,2024-04-10,佐世保競輪,12,4,3,0,3,4,1,1,1
3620240408030007,2024-04-10,小田原競輪,7,7,2,0,2,1,0,2,1
3620240408030008,2024-04-10,小田原競輪,8,7,3,0,2,2,0,2,1
3620240408030009,2024-04-10,小田原競輪,9,2,4,0,2,1,0,2,1
3620240408030010,2024-04-10,小田原競輪,10,7,1,0,3,7,1,1,1
3620240408030012,2024-04-10,小田原競輪,12,5,7,0,4,3,0,4,0
2820240408030009,2024-04-10,立川競輪,9,5,7,0,3,5,1,1,1
2820240408030010,2024-04-10,立川競輪,10,2,7,0,3,2,1,1,1
2820240408030011,2024-04-10,立川競輪,11,1,1,1,1,4,0,3,1
2820240408030012,2024-04-10,立川競輪,12,5,1,0,5,4,0,5,0
5320240411010006,2024-04-11,奈良競輪,6,2,5,0,2,4,0,2,1
5320240411010007,2024-04-11,奈良競輪,7,2,4,0,2,5,0,2,1
5320240411010008,2024-04-11,奈良競輪,8,1,5,0,2,2,0,2,1
5320240411010009,2024-04-11,奈良競輪,9,3,4,0,2,7,0,2,1
5320240411010010,2024-04-11,奈良競輪,10,5,1,0,2,7,0,2,1
5320240411010011,2024-04-11,奈良競輪,11,1,1,1,1,5,0,3,1
5320240411010012,2024-04-11,奈良競輪,12,2,4,0,2,6,0,2,1
4720240411010006,2024-04-11,松阪競輪,6,1,1,1,1,4,0,3,1
4720240411010007,2024-04-11,松阪競輪,7,5,4,0,2,3,0,2,1
4720240411010008,2024-04-11,松阪競輪,8,1,4,0,2,3,0,2,1
4720240411010009,2024-04-11,松阪競輪,9,1,4,0,4,5,0,4,0
4720240411010010,2024-04-11,松阪競輪,10,5,4,0,2,7,0,2,1
4720240411010011,2024-04-11,松阪競輪,11,5,2,0,2,7,0,2,1
4720240411010012,2024-04-11,松阪競輪,12,4,3,0,7,7,0,7,0
5320240411020006,2024-04-12,奈良競輪,6,4,4,1,1,7,0,3,1
5320240411020007,2024-04-12,奈良競輪,7,4,3,0,3,4,1,1,1
5320240411020008,2024-04-12,奈良競輪,8,2,1,0,6,5,0,6,0
5320240411020009,2024-04-12,奈良競輪,9,2,4,0,3,2,1,1,1
5320240411020010,2024-04-12,奈良競輪,10,4,4,1,1,7,0,3,1
5320240411020011,2024-04-12,奈良競輪,11,5,5,1,1,3,0,3,1
5320240411020012,2024-04-12,奈良競輪,12,7,7,1,1,1,0,3,1
4720240411020006,2024-04-12,松阪競輪,6,7,7,1,1,6,0,3,1
4720240411020007,2024-04-12,松阪競輪,7,4,4,1,1,7,0,2,1
4720240411020008,2024-04-12,松阪競輪,8,7,7,1,1,4,0,3,1
4720240411020009,2024-04-12,松阪競輪,9,6,2,0,6,5,0,6,0
4720240411020010,2024-04-12,松阪競輪,10,4,5,0,5,2,0,5,0
4720240411020011,2024-04-12,松阪競輪,11,1,7,0,3,1,1,1,1
4720240411020012,2024-04-12,松阪競輪,12,1,1,1,1,6,0,3,1
8320240413010006,2024-04-13,久留米競輪,6,5,5,1,1,7,0,3,1
8320240413010007,2024-04-13,久留米競輪,7,3,4,0,3,3,1,1,1
8320240413010008,2024-04-13,久留米競輪,8,3,4,0,5,1,0,5,0
8320240413010009,2024-04-13,久留米競輪,9,2,2,1,1,7,0,3,1
8320240413010010,2024-04-13,久留米競輪,10,4,4,1,1,7,0,3,1
8320240413010011,2024-04-13,久留米競輪,11,7,7,1,1,3,0,3,1
8320240413010012,2024-04-13,久留米競輪,12,2,3,0,6,1,0,6,0
5320240411030005,2024-04-13,奈良競輪,5,4,2,0,2,5,0,3,1
5320240411030006,2024-04-13,奈良競輪,6,5,2,0,2,3,0,2,1
5320240411030007,2024-04-13,奈良競輪,7,2,5,0,3,2,1,1,1
5320240411030008,2024-04-13,奈良競輪,8,2,2,1,1,4,0,3,1
5320240411030009,2024-04-13,奈良競輪,9,3,4,0,4,2,0,4,0
5320240411030010,2024-04-13,奈良競輪,10,7,2,0,3,7,1,1,1
5320240411030012,2024-04-13,奈良競輪,12,3,3,1,1,6,0,3,1
4720240411030005,2024-04-13,松阪競輪,5,7,2,0,2,3,0,2,1
4720240411030006,2024-04-13,松阪競輪,6,7,7,1,1,1,0,3,1
4720240411030007,2024-04-13,松阪競輪,7,7,2,0,2,7,1,1,1
4720240411030008,2024-04-13,松阪競輪,8,4,2,0,4,1,0,4,0
4720240411030009,2024-04-13,松阪競輪,9,2,2,1,1,5,0,3,1
4720240411030010,2024-04-13,松阪競輪,10,3,1,0,2,5,0,2,1
4720240411030012,2024-04-13,松阪競輪,12,3,4,0,5,5,0,5,0
8320240413020006,2024-04-14,久留米競輪,6,2,3,0,2,5,0,2,1
8320240413020007,2024-04-14,久留米競輪,7,5,5,1,1,1,0,3,1
8320240413020008,2024-04-14,久留米競輪,8,5,5,1,1,7,0,3,1
8320240413020009,2024-04-14,久留米競輪,9,5,1,0,3,5,1,1,1
8320240413020010,2024-04-14,久留米競輪,10,4,4,1,1,7,0,3,1
8320240413020011,2024-04-14,久留米競輪,11,5,1,0,2,2,0,2,1
8320240413020012,2024-04-14,久留米競輪,12,5,7,0,3,5,1,1,1
