race_id,race_date,track,race_no,first_candidates,second_candidates,third_candidates,actual_1st,actual_2nd,actual_3rd,hit_1st,hit_2nd,hit_3rd,complete_capture,candidate_cells
2620240226030009,2024-02-28,西武園競輪,9,3,4-7,1-2-4-7,4,2,3,0,0,0,0,7
2620240226030010,2024-02-28,西武園競輪,10,2,2-4-7,1-5-7,2,7,3,1,1,0,0,7
2620240226030012,2024-02-28,西武園競輪,12,3,4-5-7,2-4-5-6,5,1,3,0,0,0,0,8
8520240228020006,2024-02-29,佐世保競輪,6,1,1-2-5,4-5-6-7,4,5,7,0,1,1,0,8
8520240228020007,2024-02-29,佐世保競輪,7,7,1-4-7,1-3-7,7,4,2,1,1,0,0,7
8520240228020008,2024-02-29,佐世保競輪,8,1,2-5-7,1-3-4-5,2,7,1,0,1,1,0,8
8520240228020009,2024-02-29,佐世保競輪,9,2,2-4-7,4-5-6-7,7,1,4,0,0,1,0,8
8520240228020010,2024-02-29,佐世保競輪,10,1,4-5-7,1-4-7,1,2,5,1,0,0,0,7
8520240228020011,2024-02-29,佐世保競輪,11,2,2-5,3-4-6-7,2,5,4,1,1,1,1,7
8520240228020012,2024-02-29,佐世保競輪,12,1,1-4,2-3-4-7,1,4,2,1,1,1,1,7
1320240301010006,2024-03-01,いわき平競輪,6,2-3,4-7,3-4-5-7,6,3,4,0,0,1,0,8
1320240301010007,2024-03-01,いわき平競輪,7,7,1-3-7,1-2-3-5,3,7,1,0,1,1,0,8
1320240301010008,2024-03-01,いわき平競輪,8,1-4,1-4,3-5-6,3,5,2,0,0,0,0,7
1320240301010009,2024-03-01,いわき平競輪,9,5,3-5-7,1-4-6-7,1,6,5,0,0,0,0,8
1320240301010010,2024-03-01,いわき平競輪,10,2,2-3-7,3-4-7,2,4,1,1,0,0,0,7
1320240301010011,2024-03-01,いわき平競輪,11,1-4,1-4,1-2-5-7,2,4,1,0,1,1,0,8
1320240301010012,2024-03-01,いわき平競輪,12,2,4-7,3-5-6-7,7,3,5,0,0,1,0,7
8520240228030005,2024-03-01,佐世保競輪,5,2-3,3-5,1-4-7,3,2,5,1,0,0,0,7
8520240228030006,2024-03-01,佐世保競輪,6,2,2-4-7,1-2-3-7,5,7,2,0,1,1,0,8
8520240228030007,2024-03-01,佐世保競輪,7,1,1-7,1-3-5-7,2,5,3,0,0,1,0,7
8520240228030008,2024-03-01,佐世保競輪,8,5,3-7,3-4-6-7,7,3,5,0,1,0,0,7
8520240228030009,2024-03-01,佐世保競輪,9,1-7,1-7,1-2-3,2,6,1,0,0,1,0,7
8520240228030010,2024-03-01,佐世保競輪,10,2,2-4-6,1-2-6-7,6,7,3,0,0,0,0,8
8520240228030012,2024-03-01,佐世保競輪,12,1,1-5-7,1-3-6-7,3,6,7,0,0,1,0,8
2520240301010006,2024-03-01,大宮競輪,6,1-2,2-3-4,1-4-5,1,2,7,1,1,0,0,8
2520240301010007,2024-03-01,大宮競輪,7,1-3,4-5-7,2-3-7,3,7,1,1,1,0,0,8
2520240301010008,2024-03-01,大宮競輪,8,4,1-4,2-5-7,5,4,1,0,1,0,0,6
2520240301010009,2024-03-01,大宮競輪,9,1,5-7,2-4-6-7,7,1,5,0,0,0,0,7
2520240301010010,2024-03-01,大宮競輪,10,5,3-5-7,1-4-5-7,5,7,1,1,1,1,1,8
2520240301010011,2024-03-01,大宮競輪,11,2,4-7,1-5-7,7,2,5,0,0,1,0,6
2520240301010012,2024-03-01,大宮競輪,12,1,1-4-7,1-4-5-7,4,7,1,0,1,1,0,8
1320240301020006,2024-03-02,いわき平競輪,6,3,1-5,2-4-5,3,5,7,1,1,0,0,6
1320240301020008,2024-03-02,いわき平競輪,8,2,2-4-7,3-6-7,5,1,2,0,0,0,0,7
1320240301020009,2024-03-02,いわき平競輪,9,1,1-4-7,1-2-4-5,5,7,6,0,1,0,0,8
1320240301020010,2024-03-02,いわき平競輪,10,1-2,3-4-5,2-3-5,1,5,4,1,1,0,0,8
1320240301020011,2024-03-02,いわき平競輪,11,1,4-7,1-3-6-7,7,2,4,0,0,0,0,7
1320240301020012,2024-03-02,いわき平競輪,12,3,1-3-4,1-2-5,3,7,4,1,0,0,0,7
2520240301020006,2024-03-02,大宮競輪,6,5,1-3-5,3-5-7,2,7,1,0,0,0,0,7
2520240301020007,2024-03-02,大宮競輪,7,2,2-4-5,1-4-7,4,7,1,0,0,1,0,7
2520240301020008,2024-03-02,大宮競輪,8,1,1-4,2-6-7,5,7,4,0,0,0,0,6
2520240301020009,2024-03-02,大宮競輪,9,2-4,1-4-7,3-5-6-7,7,2,3,0,0,1,0,9
2520240301020010,2024-03-02,大宮競輪,10,2-4,1-2-7,1-4-5-7,4,1,3,1,1,0,0,9
2520240301020011,2024-03-02,大宮競輪,11,1-3,1-3-5,1-2-3-5,4,3,7,0,1,0,0,9
2520240301020012,2024-03-02,大宮競輪,12,5,1-4,3-5-7,4,5,3,0,0,1,0,6
1320240301030005,2024-03-03,いわき平競輪,5,3,3-5-7,2-4-7,3,4,7,1,0,1,0,7
1320240301030006,2024-03-03,いわき平競輪,6,1,1-4-7,2-3-4-5,7,2,1,0,0,0,0,8
1320240301030007,2024-03-03,いわき平競輪,7,4,1-4,4-5-6-7,5,7,3,0,0,0,0,7
1320240301030008,2024-03-03,いわき平競輪,8,1-4,1-4,2-5-6,7,4,2,0,1,1,0,7
1320240301030009,2024-03-03,いわき平競輪,9,1,2-5-6,1-2-7,1,5,6,1,1,0,0,7
1320240301030010,2024-03-03,いわき平競輪,10,1-3,1-3,2-3-6,3,7,5,1,0,0,0,7
1320240301030012,2024-03-03,いわき平競輪,12,1-4,1-4-7,2-5-7,2,5,3,0,0,0,0,8
2520240301030005,2024-03-03,大宮競輪,5,3,1-3-5,1-3-6-7,7,3,2,0,1,0,0,8
2520240301030006,2024-03-03,大宮競輪,6,3,3-4-6,1-2-3-5,7,1,4,0,0,0,0,8
2520240301030007,2024-03-03,大宮競輪,7,1-2,1-2-4,2-3-5-6,1,7,3,1,0,1,0,9
2520240301030008,2024-03-03,大宮競輪,8,1-5,1-5,3-4-7,4,5,1,0,1,0,0,7
2520240301030009,2024-03-03,大宮競輪,9,2-5,2-5-6,1-3-5-7,4,1,2,0,0,0,0,9
2520240301030010,2024-03-03,大宮競輪,10,3,5-7,3-4-7,7,3,6,0,0,0,0,6
2520240301030012,2024-03-03,大宮競輪,12,1-3,1-3,3-4-5-6,1,5,6,1,0,1,0,8
